ID	Sample	Kit	Dilution	Clostridia	Coriobacteriia	Bacteroidia	Actinobacteria	Bacilli	Unclassified_Firmicutes	Erysipelotrichi	Mollicutes	Verrucomicrobiae	Gammaproteobacteria	Other
052_SD_MB	MI-052	MB	D0	0.674579305	0.179788758	0.010508414	0.009076262	0.024973147	0.015324024	0.032474042	0.000501253	0.000143215	0.046276405	0.006355174
120_SD_MB	MI-120	MB	D0	0.687585217	0.132041622	0.015679943	0.067384284	0.005597417	0.016289917	0.036706136	0.030678149	0.004664514	0.000538213	0.002834589
226_SD_MB	MI-226	MB	D0	0.735257064	0.15399844	0.010438539	0.005969164	0.024656548	3.00E-05	0.005519227	0	0.053752475	0.007139001	0.003239546
294_SD_MB	MI-294	MB	D0	0.625838802	0.097485436	0.009881277	0.110537571	0.00081115	2.12E-02	0.078755254	0.007374087	7.37E-05	0.000368704	0.047636605
390_SD_MB	MI-390	MB	D0	0.633534743	0.064177816	0.029175658	0.112990937	0.022313336	0.001812689	0.010660337	0.002719033	0.046914113	0.004876996	0.070824342
052_SD_QIA	MI-052	QIA	D0	0.59368846	0.1140705	0.137652619	0.003520087	0.028037613	0.009304844	0.037120914	0.005907838	0.000196928	0.04211796	0.028382237
120_SD_QIA	MI-120	QIA	D0	0.462741424	0.053473624	0.175699049	0.008984337	0.003074853	0.100317094	0.007086576	0.173753243	0.006822331	0.003098876	0.004948592
226_SD_QIA	MI-226	QIA	D0	0.536222466	0.060994465	0.245389562	0.000492975	0.007842786	1.12E-04	0.001994308	0	0.116274901	0.020592915	0.010083582
294_SD_QIA	MI-294	QIA	D0	0.402018196	0.104800308	0.116796012	0.055581447	0.004863123	0.045389151	0.091061985	0.06871188	0.000141841	0.000749732	0.109886324
390_SD_QIA	MI-390	QIA	D0	0.437902143	0.018122483	0.256283849	0.041359996	0.00886451	0.004814146	0.007151784	0.022774615	0.062421886	0.031801139	0.108503449
