ID	Sample	Dilution	Clostridia	Coriobacteriia	Bacteroidia	Actinobacteria	Bacilli	Unclassified_Firmicutes	Erysipelotrichi	Mollicutes	Verrucomicrobiae	Gammaproteobacteria	Other
052_SD_MB	MI-052	D0	0.674579305	0.179788758	0.010508414	0.009076262	0.024973147	0.015324024	0.032474042	0.000501253	0.000143215	0.046276405	0.006355174
052_D1_MB	MI-052	D1	0.664670146	0.157753629	0.013348165	0.016200337	0.028436154	0.012406948	0.029206241	0.000855652	0.000228174	0.068879952	0.008014603
052_D2_MB	MI-052	D2	0.732696646	0.104737208	0.010667679	0.009149748	0.025572913	0.010794173	0.022895453	0.001286024	0.000210824	0.070963253	0.011026079
052_D3_MB	MI-052	D3	0.81911332	0.045449934	0.003855128	0.007405904	0.025464137	0.013391498	0.021406107	0.001623212	0.000507254	0.056913868	0.004869636
052_D4_MB	MI-052	D4	0.843998787	0.035029191	0.004814618	0.00997043	0.028129502	0.012093411	0.015429525	0.000341193	0.000265373	0.04192888	0.00799909
052_D5_MB	MI-052	D5	0.817467938	0.040497908	0.010115904	0.020231809	0.022117825	0.011967629	0.023729511	0.001920307	0.007578355	0.032919553	0.011453261
120_SD_MB	MI-120	D0	0.687585217	0.132041622	0.015679943	0.067384284	0.005597417	0.016289917	0.036706136	0.030678149	0.004664514	0.000538213	0.002834589
120_D1_MB	MI-120	D1	0.698725324	0.121442412	0.019089863	0.063249364	0.007766138	0.019619717	0.03039845	0.030292479	0.006464212	0.000787211	0.00216483
120_D2_MB	MI-120	D2	0.697320385	0.140876661	0.014340595	0.064067384	0.006466391	0.019757093	0.022882913	0.026390513	0.004509771	0.0011692	0.002219094
120_D3_MB	MI-120	D3	0.883154799	0.024658685	0.010333963	0.02331443	0.005440034	0.017664356	0.014198698	0.016341105	0.002793531	0.000588112	0.001512287
120_D4_MB	MI-120	D4	0.801941518	0.068505584	0.010496823	0.040369362	0.012627757	0.029241151	0.013969457	0.018823251	0.000513003	3.94617E-05	0.003472633
120_D5_MB	MI-120	D5	0.838759403	0.041743742	0.013935134	0.027561968	0.012640276	0.015599951	0.020779381	0.023800715	0.00012332	0.000739919	0.004316192
