ID	Sample	Dilution	Clostridia	Coriobacteriia	Bacteroidia	Actinobacteria	Bacilli	Unclassified_Firmicutes	Erysipelotrichi	Mollicutes	Verrucomicrobiae	Gammaproteobacteria	Other
052_SD_QIA	MI-052	D0	0.59368846	0.1140705	0.137652619	0.003520087	0.028037613	0.009304844	0.037120914	0.005907838	0.000196928	0.04211796	0.028382237
052_D1_QIA	MI-052	D1	0.563238019	0.013861134	0.073229662	0.001743996	0.010918141	0.013915634	0.006903317	0.006539985	5.44999E-05	0.249573084	0.060022527
052_D2_QIA	MI-052	D2	0.603200189	0.0232741	0.042577449	0.002083661	0.006211669	0.013838654	0.008138072	0.007115899	0.000275201	0.230067621	0.063217487
052_D3_QIA	MI-052	D3	0.585062241	0.017948471	0.047959085	0.005403841	0.010711184	0.008974235	0.012351636	0.004149378	9.64972E-05	0.243848306	0.063495127
052_D4_QIA	MI-052	D4	0.514150943	0.037735849	0.023584906	0.009433962	0.047169811	0	0.009433962	0.004716981	0	0.287735849	0.066037736
052_D5_QIA	MI-052	D5	0.642857143	0	0.071428571	0	0.071428571	0	0	0	0.178571429	0	0.035714286
120_SD_QIA	MI-120	D0	0.462741424	0.053473624	0.175699049	0.008984337	0.003074853	0.100317094	0.007086576	0.173753243	0.006822331	0.003098876	0.004948592
120_D1_QIA	MI-120	D1	0.53278967	0.020319402	0.073938158	0.005470608	0.002888209	0.08980632	0.006761808	0.249099558	0.010669385	0.004281346	0.003975535
120_D2_QIA	MI-120	D2	0.565650812	0.006636286	0.063058958	0.005297636	0.003133011	0.069752207	0.007917972	0.243406437	0.025662205	0.005696383	0.003788095
120_D3_QIA	MI-120	D3	0.700071582	0.023622047	0.070866142	0.015032212	0.002863278	0.030780243	0.007874016	0.135289907	0.00071582	0.005010737	0.007874016
120_D4_QIA	MI-120	D4	0.638173302	0.012295082	0.088992974	0.009953162	0.041569087	0.035128806	0.005854801	0.087822014	0.019320843	0.033957845	0.026932084
120_D5_QIA	MI-120	D5	0.56097561	0	0.06097561	0	0.06097561	0	0	0.036585366	0	0.097560976	0.182926829
226_SD_QIA	MI-226	D0	0.536222466	0.060994465	0.245389562	0.000492975	0.007842786	0.00011204	0.001994308	0	0.116274901	0.020592915	0.010083582
226_D1_QIA	MI-226	D1	0.447604243	0.011841624	0.138533285	0.000320044	0.005555048	0.000160022	0.000525786	0	0.337943489	0.053173007	0.004343453
226_D2_QIA	MI-226	D2	0.346801804	0.006928971	0.083174827	0.000570621	0.003287865	2.71724E-05	0.000461931	0	0.514999185	0.038122928	0.005624694
226_D3_QIA	MI-226	D3	0.5	0.029411765	0.058823529	0	0.044117647	0	0	0	0.367647059	0	0
226_D4_QIA	MI-226	D4	0.572727273	0	0.104545455	0	0.059090909	0.004545455	0	0.004545455	0.231818182	0.004545455	0.018181818
226_D5_QIA	MI-226	D5	0.257142857	0.057142857	0.342857143	0	0.257142857	0	0.057142857	0	0.028571429	0	0
294_SD_QIA	MI-294	D0	0.402018196	0.104800308	0.116796012	0.055581447	0.004863123	0.045389151	0.091061985	0.06871188	0.000141841	0.000749732	0.109886324
294_D1_QIA	MI-294	D1	0.558746651	0.047703065	0.08305561	0.036104032	0.005064366	0.069692217	0.034731752	0.055708031	0.000130693	0.00137228	0.107691302
294_D2_QIA	MI-294	D2	0.591510146	0.046142239	0.08267482	0.039391653	0.006194655	0.059524282	0.03899456	0.052257475	3.97093E-05	0.000873605	0.082396855
294_D3_QIA	MI-294	D3	0.630485893	0.012539185	0.058973354	0.045062696	0.019984326	0.046826019	0.046434169	0.065438871	0.000195925	0.000979624	0.073079937
294_D4_QIA	MI-294	D4	0.385714286	0.007142857	0.128571429	0.042857143	0	0.035714286	0.035714286	0.007142857	0	0.15	0.207142857
294_D5_QIA	MI-294	D5	0.608	0.008	0.008	0.008	0.04	0	0.12	0.072	0	0.04	0.096
390_SD_QIA	MI-390	D0	0.437902143	0.018122483	0.256283849	0.041359996	0.00886451	0.004814146	0.007151784	0.022774615	0.062421886	0.031801139	0.108503449
390_D1_QIA	MI-390	D1	0.634375	0.005994898	0.17372449	0.029145408	0.003762755	0.003571429	0.000701531	0.015178571	0.072640306	0.020471939	0.040433673
390_D2_QIA	MI-390	D2	0.647684639	0.002237646	0.123338514	0.019937828	0.004126916	0.002679816	0.001688284	0.013291886	0.137166363	0.02050059	0.027347518
390_D3_QIA	MI-390	D3	0.624913013	0.002551612	0.124432515	0.04317858	0.008151904	0.005832256	0.001093548	0.008682109	0.13377738	0.017563045	0.029824038
390_D4_QIA	MI-390	D4	0.645208273	0.032041946	0.067579377	0.073987766	0.010195165	0	0.004660647	0.016020973	0.080396155	0.027090009	0.042819691
390_D5_QIA	MI-390	D5	0.734312417	0.022696929	0.002670227	0.096128171	0.069425901	0	0.00400534	0	0.006675567	0.036048064	0.028037383
buffAE	buffAE	control	0.515151515	0	0.090909091	0.121212121	0.181818182	0.03030303	0.060606061	0	0	0	0
empA1	empA1	control	0.275862069	0.034482759	0.068965517	0	0.379310345	0	0	0	0.034482759	0.068965517	0.137931034
empB1	empB1	control	0.258064516	0.032258065	0.129032258	0.064516129	0	0	0.032258065	0	0.064516129	0.032258065	0.387096774
PBS	PBS	control	0.666666667	0	0.033333333	0.066666667	0.1	0.033333333	0	0	0.033333333	0	0.066666667
blankQIA_PBS	blankQIA_PBS	control	0.441176471	0.029411765	0.205882353	0.058823529	0.029411765	0	0.088235294	0.117647059	0.029411765	0	0
water	water	control	0.333333333	0.023809524	0.095238095	0	0.214285714	0	0.023809524	0	0	0	0.30952381
