ID	Sample	Kit	Dilution	Blautia	Coprococcus	Faecalibacterium	Ruminococcaceae	Clostridium	Ruminococcus	[Ruminococcus]	Lachnospiraceae	Clostridiales_SMB53	Oscillospira	Collinsella	Dorea	Bifidobacterium	Unclassified	Roseburia	Clostridium	Bacteroides	Unclassified_Firmicutes	Coriobacteriaceae	Mollicutes_RF39	Akkermansia	Other
052_SD_MB	MI-052	MB	D0	0.228464017	0.076279986	0.025026853	0.075760831	0.083351235	0.000877193	0.035893305	0.015162907	0.025886144	0.009953455	0.153938417	0.017329037	0.005370569	0.00952381	0.009667025	0.00245256	0.001664876	0.015324024	0.012728249	0.000501253	0.000143215	0.194701038
120_SD_MB	MI-120	MB	D0	0.116289917	0.094079656	0.037567277	0.036562612	0.144958737	0.032508073	0.051919627	0.067312522	0.013204162	0.015213491	0.101040545	0.022569071	0.064011482	0.005812702	0.00531037	0.030426982	0.003444564	0.016289917	0.016576964	0.030678149	0.004664514	0.089558665
226_SD_MB	MI-226	MB	D0	0.168486412	0.099916012	0.058251845	0.053092567	0.007978883	9.30E-03	0.08035875	0.119833223	0.025226468	0.000659908	0.131981523	0.03371528	3.00E-05	0.015747795	0.028705981	0.033835263	0.009688644	3.00E-05	0.015087888	0	0.053752475	0.054322395
294_SD_MB	MI-294	MB	D0	0.106776786	0.063048448	0.045940565	0.026841678	0.092176093	1.69E-02	0.040336258	0.057001696	3.13E-02	0.035764324	0.063638375	0.040631222	0.108915272	0.012830912	0.006857901	0.01519062	0.00081115	0.021237372	0.032519726	0.007374087	7.37E-05	0.173807241
390_SD_MB	MI-390	MB	D0	0.141605524	0.058394476	0.017565818	0.019033233	0.061588261	0.108372896	0.02149331	0.016400518	0.049589987	0.012429866	0.054251187	0.012300388	0.11160984	0.017047907	0.000992663	0.009667674	0.019939577	0.001812689	0.007034959	0.002719033	0.046914113	0.209236081
052_SD_QIA	MI-052	QIA	D0	0.026043718	0.022548247	0.044210319	0.113479716	0.070598661	0.002953919	0.023754431	0.011323356	2.77E-02	0.061663056	0.055779835	0.016615794	0.002486215	0.058758369	0.124778456	0.010092556	0.02161284	0.009304844	0.044185703	0.005907838	0.000196928	0.24601221
120_SD_QIA	MI-120	QIA	D0	0.019554146	0.042951859	0.021812242	0.088690305	0.016263092	0.062121649	0.008119535	0.014004997	0.00261843	0.118141635	0.023878159	0.003723455	0.008551936	0.013644662	0.023758047	0.006293841	0.033246853	0.100317094	0.015734602	0.173753243	0.006822331	0.195997886
226_SD_QIA	MI-226	QIA	D0	0.040984158	0.020211979	0.098841509	0.037533332	0.014677213	0.047235978	0.042888834	0.0354718	0.018352119	0.00427992	0.050216237	0.010352477	2.24E-05	0.044457391	0.067918525	0.009702646	0.218477603	0.00011204	0.007730746	0	0.116274901	0.114258185
294_SD_QIA	MI-294	QIA	D0	0.015075682	0.01142834	0.043342587	0.052825677	0.011651233	0.039472351	0.012259123	0.015156734	0.002593666	0.093351705	0.03173188	0.018783814	0.054831716	0.030556625	0.012623858	0.014325951	0.011043343	0.045389151	0.07085976	0.06871188	0.000141841	0.343843083
390_SD_QIA	MI-390	QIA	D0	0.012845438	0.006364857	0.021339629	0.029278341	0.005369625	0.063463408	0.003008841	0.009119104	0.002592233	0.032009443	0.007776698	0.003980929	0.041012822	0.036244966	0.004883581	0.006596306	0.155996852	0.004814146	0.008795075	0.022774615	0.062421886	0.459311207
