ID	Sample	Dilution	Blautia	Coprococcus	Faecalibacterium	Ruminococcaceae	Clostridium	Ruminococcus	[Ruminococcus]	Lachnospiraceae	Clostridiales_SMB53	Oscillospira	Collinsella	Dorea	Bifidobacterium	Unclassified	Roseburia	Clostridium	Bacteroides	Unclassified_Firmicutes	Coriobacteriaceae	Mollicutes_RF39	Akkermansia	Other
052_SD_MB	MI-052	D0	0.228464017	0.076279986	0.025026853	0.075760831	0.083351235	0.000877193	0.035893305	0.015162907	0.025886144	0.009953455	0.153938417	0.017329037	0.005370569	0.00952381	0.009667025	0.00245256	0.001664876	0.015324024	0.012728249	0.000501253	0.000143215	0.194701038
052_D1_MB	MI-052	D1	0.188186304	0.079746727	0.040015972	0.075012122	0.095005847	0.000456348	0.024015288	0.014745729	0.02820798	0.010724166	0.133995037	0.012121731	0.010581558	0.011865035	0.026838938	0.003051824	0.003935997	0.012406948	0.015202076	0.000855652	0.000228174	0.212800548
052_D2_MB	MI-052	D2	0.22979782	0.090211456	0.031033247	0.081989332	0.090738515	0.000864377	0.022979782	0.020639639	0.031707883	0.010920667	0.088609196	0.014631164	0.006177134	0.009529231	0.034849156	0.003457508	0.002867202	0.010794173	0.009086501	0.001286024	0.000210824	0.207619168
052_D3_MB	MI-052	D3	0.282337425	0.093233235	0.038855636	0.103175408	0.066856041	0.000304352	0.05031957	0.020188698	0.033986	0.013087146	0.033072943	0.022826418	0.006289946	0.006594298	0.043116567	0.004869636	0.000507254	0.013391498	0.008623313	0.001623212	0.000507254	0.156234148
052_D4_MB	MI-052	D4	0.327545682	0.094358935	0.031427705	0.079498067	0.066684358	0.001213132	0.026271893	0.026423535	0.039843809	0.009742968	0.026840549	0.019296383	0.003487755	0.011486845	0.060770339	0.005648647	0.001592236	0.012093411	0.005648647	0.000341193	0.000265373	0.149518538
052_D5_MB	MI-052	D5	0.274638228	0.080584322	0.032576641	0.066627803	0.068205199	0.024826829	0.034359783	0.040943694	0.042726836	0.020814759	0.032199438	0.016356903	0.01628832	0.014813799	0.048487758	0.010424525	0.004457856	0.011967629	0.005898087	0.001920307	0.007578355	0.143302928
120_SD_MB	MI-120	D0	0.116289917	0.094079656	0.037567277	0.036562612	0.144958737	0.032508073	0.051919627	0.067312522	0.013204162	0.015213491	0.101040545	0.022569071	0.064011482	0.005812702	0.00531037	0.030426982	0.003444564	0.016289917	0.016576964	0.030678149	0.004664514	0.089558665
120_D1_MB	MI-120	D1	0.118974809	0.08389851	0.052924791	0.037665012	0.132387671	0.037513625	0.047156958	0.078948165	0.012777038	0.023828267	0.095343345	0.019846797	0.061387308	0.005782972	0.005132009	0.030413588	0.004072302	0.019619717	0.01354911	0.030292479	0.006464212	0.082021315
120_D2_MB	MI-120	D2	0.118924336	0.08329953	0.042592283	0.03765301	0.12095254	0.050585793	0.040754969	0.088143358	0.012049918	0.027177933	0.112553389	0.017227803	0.062707294	0.005034718	0.006991338	0.032427402	0.002982653	0.019757093	0.016106326	0.026390513	0.004509771	0.071178029
120_D3_MB	MI-120	D3	0.165511447	0.119701743	0.056584751	0.039907582	0.140726738	0.064986347	0.050388574	0.116005041	0.011783239	0.022537282	0.01758034	0.020016803	0.021991178	0.004179794	0.007204369	0.047952111	0.003255619	0.017664356	0.003570678	0.016341105	0.002793531	0.04931737
