ID	Sample	Dilution	Blautia	Coprococcus	Faecalibacterium	Ruminococcaceae	Clostridium	Ruminococcus	[Ruminococcus]	Lachnospiraceae	Clostridiales_SMB53	Oscillospira	Collinsella	Dorea	Bifidobacterium	Unclassified	Roseburia	Clostridium	Bacteroides	Unclassified_Firmicutes	Coriobacteriaceae	Mollicutes_RF39	Akkermansia	Other
052_SD_QIA	MI-052	D0	0.026043718	0.022548247	0.044210319	0.113479716	0.070598661	0.002953919	0.023754431	0.011323356	0.027692989	0.061663056	0.055779835	0.016615794	0.002486215	0.058758369	0.124778456	0.010092556	0.02161284	0.009304844	0.044185703	0.005907838	0.000196928	0.24601221
052_D1_QIA	MI-052	D1	0.039112742	0.017185627	0.074464993	0.20288486	0.02734077	0.005086655	0.007993315	0.012117138	0.02147295	0.06710751	0.003905824	0.009591978	0.000871998	0.02734077	0.031137594	0.015441631	0.013079969	0.013915634	0.008483814	0.006539985	5.44999E-05	0.394869745
052_D2_QIA	MI-052	D2	0.023903129	0.010261047	0.132685957	0.217644284	0.047137915	0.003577607	0.009081617	0.012226765	0.013995911	0.053624784	0.005857839	0.013288253	0.002083661	0.023392043	0.025908162	0.015018085	0.004757037	0.013838654	0.014900142	0.007115899	0.000275201	0.34942601
052_D3_QIA	MI-052	D3	0.05288044	0.020553894	0.08983885	0.180739168	0.053748914	0.004149378	0.004535366	0.017465985	0.031940558	0.033774004	0.007237287	0.01727299	0.004824858	0.022676831	0.042941233	0.013992087	0.008588247	0.008974235	0.010132201	0.004149378	9.64972E-05	0.3694876
052_D4_QIA	MI-052	D4	0.051886792	0.004716981	0.04245283	0.155660377	0.070754717	0.004716981	0.004716981	0	0.113207547	0.004716981	0.014150943	0.037735849	0.009433962	0.009433962	0	0.004716981	0.018867925	0	0.023584906	0.004716981	0	0.424528302
052_D5_QIA	MI-052	D5	0.25	0.071428571	0.071428571	0	0	0	0.035714286	0.035714286	0	0	0	0	0	0.071428571	0	0.071428571	0	0	0	0	0.178571429	0.214285714
120_SD_QIA	MI-120	D0	0.019554146	0.042951859	0.021812242	0.088690305	0.016263092	0.062121649	0.008119535	0.014004997	0.00261843	0.118141635	0.023878159	0.003723455	0.008551936	0.013644662	0.023758047	0.006293841	0.033246853	0.100317094	0.015734602	0.173753243	0.006822331	0.195997886
120_D1_QIA	MI-120	D1	0.016445804	0.038328236	0.101325178	0.082738702	0.01083928	0.087733605	0.007679239	0.01243629	0.002174652	0.100577642	0.010635406	0.008188923	0.005334692	0.007067618	0.029357798	0.004553177	0.014407068	0.08980632	0.005640503	0.249099558	0.010669385	0.104960924
120_D2_QIA	MI-120	D2	0.016775847	0.039960125	0.120706351	0.08527485	0.01176303	0.130675021	0.008174309	0.012532042	0.002591854	0.062517801	0.002506408	0.009797778	0.004813443	0.007063515	0.02634577	0.004841925	0.01264597	0.069752207	0.002620336	0.243406437	0.025662205	0.099572771
120_D3_QIA	MI-120	D3	0.026485326	0.021474588	0.14745884	0.090193271	0.058697208	0.156764495	0.014316392	0.03793844	0.001431639	0.057981389	0.012168933	0.007158196	0.013600573	0.012884753	0.033643522	0.002147459	0.017179671	0.030780243	0	0.135289907	0.00071582	0.121689334
120_D4_QIA	MI-120	D4	0.039812646	0.025761124	0.142857143	0.074355972	0.046252927	0.172131148	0.011709602	0.028688525	0.00175644	0.040398126	0	0.021077283	0.003512881	0.058548009	0.015222482	0.00234192	0.025175644	0.035128806	0.006440281	0.087822014	0.019320843	0.141686183
120_D5_QIA	MI-120	D5	0.012195122	0.414634146	0	0.036585366	0.012195122	0.012195122	0	0.024390244	0	0	0	0.012195122	0	0.06097561	0.012195122	0	0.012195122	0	0	0.036585366	0	0.353658537
226_SD_QIA	MI-226	D0	0.040984158	0.020211979	0.098841509	0.037533332	0.014677213	0.047235978	0.042888834	0.0354718	0.018352119	0.00427992	0.050216237	0.010352477	2.2408E-05	0.044457391	0.067918525	0.009702646	0.218477603	0.00011204	0.007730746	0	0.116274901	0.114258185
226_D1_QIA	MI-226	D1	0.024163314	0.005692209	0.162125091	0.031775786	0.004183431	0.021122897	0.027249451	0.022951719	0.01641368	0.002148866	0.009807059	0.006378018	0	0.030632772	0.055321873	0.005280724	0.124405633	0.000160022	0.000982992	0	0.337943489	0.111260973
226_D2_QIA	MI-226	D2	0.018613119	0.006059453	0.088473453	0.02554209	0.005570349	0.019319602	0.031221129	0.019265257	0.014863323	0.001249932	0.006494212	0.004972556	2.71724E-05	0.028014782	0.047633281	0.004075865	0.075919787	2.71724E-05	0.000190207	0	0.514999185	0.087468072
226_D3_QIA	MI-226	D3	0.029411765	0.029411765	0.029411765	0.073529412	0.014705882	0.014705882	0.044117647	0.029411765	0.014705882	0.014705882	0.029411765	0	0	0.029411765	0.102941176	0	0.058823529	0	0	0	0.367647059	0.117647059
226_D4_QIA	MI-226	D4	0.231818182	0.004545455	0.040909091	0.022727273	0	0	0.081818182	0.009090909	0	0.004545455	0	0.068181818	0	0.022727273	0.104545455	0.004545455	0.1	0.004545455	0	0.004545455	0.231818182	0.063636364
226_D5_QIA	MI-226	D5	0.057142857	0	0	0.057142857	0	0.057142857	0	0.028571429	0	0	0.057142857	0	0	0.028571429	0.028571429	0.028571429	0.171428571	0	0	0	0.028571429	0.457142857
294_SD_QIA	MI-294	D0	0.015075682	0.01142834	0.043342587	0.052825677	0.011651233	0.039472351	0.012259123	0.015156734	0.002593666	0.093351705	0.03173188	0.018783814	0.054831716	0.030556625	0.012623858	0.014325951	0.011043343	0.045389151	0.07085976	0.06871188	0.000141841	0.343843083
294_D1_QIA	MI-294	D1	0.027314906	0.014016859	0.053257531	0.083774423	0.013167353	0.040253545	0.0083317	0.017349539	0.0112723	0.171567666	0.016303993	0.020486179	0.035940665	0.028033719	0.01215448	0.019309939	0.00519506	0.069724891	0.029928772	0.055642684	0.000130693	0.266843103
294_D2_QIA	MI-294	D2	0.034388278	0.011595124	0.058730096	0.102926577	0.013024659	0.05019259	0.014374777	0.017630942	0.018544256	0.157606322	0.01596315	0.024858039	0.038796013	0.029305484	0.00945082	0.020450304	0.006353492	0.059524282	0.028074495	0.052257475	3.97093E-05	0.235913116
294_D3_QIA	MI-294	D3	0.044670846	0.01273511	0.066026646	0.079153605	0.021747649	0.074451411	0.010775862	0.021943574	0.018612853	0.140282132	0.007836991	0.02919279	0.044866771	0.021943574	0.028996865	0.020376176	0.008032915	0.046826019	0.00450627	0.065438871	0.000195925	0.231387147
294_D4_QIA	MI-294	D4	0.035714286	0.085714286	0	0.157142857	0.021428571	0.021428571	0.007142857	0.021428571	0.007142857	0	0	0	0.042857143	0	0.014285714	0	0	0.035714286	0.007142857	0.007142857	0	0.535714286
294_D5_QIA	MI-294	D5	0.024	0.176	0.072	0	0	0	0	0.016	0.232	0	0.008	0	0.008	0.088	0	0	0.008	0	0	0.072	0	0.296
390_SD_QIA	MI-390	D0	0.012845438	0.006364857	0.021339629	0.029278341	0.005369625	0.063463408	0.003008841	0.009119104	0.002592233	0.032009443	0.007776698	0.003980929	0.041012822	0.036244966	0.004883581	0.006596306	0.155996852	0.004814146	0.008795075	0.022774615	0.062421886	0.459311207
390_D1_QIA	MI-390	D1	0.011989796	0.003762755	0.044451531	0.026084184	0.003571429	0.044706633	0.003507653	0.005867347	0.00682398	0.032589286	0.002295918	0.003507653	0.029017857	0.019961735	0.004910714	0.004719388	0.120408163	0.003571429	0.002487245	0.015178571	0.072640306	0.537946429
390_D2_QIA	MI-390	D2	0.007892057	0.002197449	0.04272966	0.021116947	0.00377854	0.033296709	0.002117054	0.003657948	0.013117698	0.027012542	0.000683353	0.00261282	0.019937828	0.016480866	0.0043547	0.003296173	0.085298531	0.002720013	0.001219316	0.013291886	0.137166363	0.556021546
390_D3_QIA	MI-390	D3	0.013420817	0.00593167	0.042350134	0.024356298	0.006958942	0.057759221	0.008549558	0.003313782	0.007522285	0.020446035	0.000530205	0.005964808	0.042615237	0.016966564	0.009841933	0.003446333	0.080756868	0.005832256	0.001259237	0.008682109	0.13377738	0.499718329
390_D4_QIA	MI-390	D4	0.0699097	0.016894844	0.040780658	0.02097291	0.00728226	0.112729391	0.010195165	0.016020973	0.058840664	0.008156132	0.016603554	0.00669968	0.073696475	0.024759685	0.000873871	0.001456452	0.046023886	0	0.014855811	0.016020973	0.080396155	0.35683076
390_D5_QIA	MI-390	D5	0.106809079	0.016021362	0.03070761	0.002670227	0.020026702	0.174899866	0.021361816	0.013351135	0.198931909	0.040053405	0.010680908	0.008010681	0.089452603	0.045393858	0.005340454	0.00400534	0.001335113	0	0.006675567	0	0.006675567	0.197596796
buffAE	buffAE	control	0.090909091	0.060606061	0	0	0.060606061	0.060606061	0	0.060606061	0	0.03030303	0	0	0.121212121	0.03030303	0.090909091	0	0.03030303	0.03030303	0	0	0	0.333333333
empA1	empA1	control	0.103448276	0.103448276	0	0.034482759	0	0	0	0	0	0.034482759	0.034482759	0	0	0.137931034	0	0	0.068965517	0	0	0	0.034482759	0.448275862
empB1	empB1	control	0.032258065	0.032258065	0.032258065	0.032258065	0	0	0	0	0.032258065	0	0.032258065	0	0.064516129	0.387096774	0.032258065	0	0.032258065	0	0	0	0.064516129	0.225806452
PBS	PBS	control	0.066666667	0.033333333	0.066666667	0.066666667	0	0.033333333	0	0.033333333	0.033333333	0	0	0.166666667	0.066666667	0.166666667	0.033333333	0	0.033333333	0.033333333	0	0	0.033333333	0.133333333
blankQIA_PBS	blankQIA_PBS	control	0	0.029411765	0.058823529	0.058823529	0	0	0	0.029411765	0	0.029411765	0.029411765	0	0.058823529	0	0.088235294	0	0.147058824	0	0	0.117647059	0.029411765	0.323529412
water	water	control	0.047619048	0.023809524	0.071428571	0.047619048	0.023809524	0.023809524	0	0.023809524	0	0	0.023809524	0	0	0.333333333	0	0	0.023809524	0	0	0	0	0.357142857
