ID	Sample	Kit	Dilution	Firmicutes	Actinobacteria	Bacteroidetes	Proteobacteria	Tenericutes	Verrucomicrobia	Other
052_D0_MB	MI-052	MB	D0	0.747350519	0.189581096	0.010544218	0.046491228	0.000501253	0.000143215	0.005388471
120_D0_MB	MI-120	MB	D0	0.746178687	0.199425906	0.015679943	0.000968784	0.030678149	0.004664514	0.002404019
226_D0_MB	MI-226	MB	D0	0.765462835	0.159967605	0.010438539	0.007228988	0	0.053752475	0.003149559
294_D0_MB	MI-294	MB	D0	0.726642578	0.214733427	0.009881277	0.000663668	0.007374087	7.37E-05	0.040631222
390_D0_MB	MI-390	MB	D0	0.668321105	0.178636167	0.029175658	0.005394907	0.002719033	0.046914113	0.068839016
052_D0_QIA	MI-052	QIA	D0	0.668151831	0.117689051	0.137800315	0.045367271	0.005907838	0.000196928	0.024886766
120_D0_QIA	MI-120	QIA	D0	0.573219948	0.062457961	0.175699049	0.005717306	0.173753243	0.006822331	0.002330162
226_D0_QIA	MI-226	QIA	D0	0.5461716	0.06148744	0.245389562	0.024357452	0	0.116274901	0.006319045
294_D0_QIA	MI-294	QIA	D0	0.543332455	0.161982533	0.116897327	0.005491277	0.06871188	0.000263419	0.103321108
390_D0_QIA	MI-390	QIA	D0	0.458732583	0.059829653	0.257464241	0.039346387	0.022774615	0.062537611	0.09931491
