ID	Sample	Dilution	Firmicutes	Actinobacteria	Bacteroidetes	Proteobacteria	Tenericutes	Verrucomicrobia	Other
052_D0_MB	MI-052	D0	0.747350519	0.189581096	0.010544218	0.046491228	0.000501253	0.000143215	0.005388471
052_D1_MB	MI-052	D1	0.734719489	0.1745244	0.013348165	0.068965517	0.000855652	0.000228174	0.007358604
052_D2_MB	MI-052	D2	0.791959185	0.114435098	0.010667679	0.071216242	0.001286024	0.000210824	0.010224949
052_D3_MB	MI-052	D3	0.879375063	0.052957289	0.003855128	0.056913868	0.001623212	0.000507254	0.004768185
052_D4_MB	MI-052	D4	0.899651225	0.044999621	0.004814618	0.042762908	0.000341193	0.000265373	0.007165062
052_D5_MB	MI-052	D5	0.875282902	0.060729717	0.010218778	0.034977025	0.001920307	0.007578355	0.009292915
120_D0_MB	MI-120	D0	0.746178687	0.199425906	0.015679943	0.000968784	0.030678149	0.004664514	0.002404019
120_D1_MB	MI-120	D1	0.756509628	0.184691777	0.019089863	0.0011354	0.030292479	0.006464212	0.00181664
120_D2_MB	MI-120	D2	0.746426782	0.204944045	0.014412179	0.001479396	0.026390513	0.004509771	0.001837314
120_D3_MB	MI-120	D3	0.920457887	0.047973115	0.010333963	0.001218231	0.016341105	0.002793531	0.000882168
120_D4_MB	MI-120	D4	0.857779882	0.108874946	0.010496823	0.000157847	0.018823251	0.000513003	0.003354248
120_D5_MB	MI-120	D5	0.887779011	0.06930571	0.013935134	0.003946233	0.023800715	0.00012332	0.001109878
226_D0_MB	MI-226	D0	0.765462835	0.159967605	0.010438539	0.007228988	0	0.053752475	0.003149559
226_D1_MB	MI-226	D1	0.723183995	0.148049292	0.013869487	0.010352225	0	0.101875873	0.002669128
226_D2_MB	MI-226	D2	0.775329647	0.037402524	0.011938182	0.007571246	0	0.166368921	0.00138948
226_D3_MB	MI-226	D3	0.848979592	0.046938776	0.014285714	0.014285714	0	0.075510204	0
226_D4_MB	MI-226	D4	0.898701299	0.033766234	0.003896104	0.006493506	0	0.055844156	0.001298701
226_D5_MB	MI-226	D5	0.87374716	0.057363357	0.009755446	0.013764533	0.001236135	0.040725645	0.003407724
294_D0_MB	MI-294	D0	0.726642578	0.214733427	0.009881277	0.000663668	0.007374087	7.37E-05	0.040631222
294_D1_MB	MI-294	D1	0.697163853	0.236927317	0.014674475	0.000275577	0.006797566	4.59E-05	0.044115283
294_D2_MB	MI-294	D2	0.801985914	0.144527191	0.01607782	0.000577301	0.009092484	2.89E-05	0.027710426
294_D3_MB	MI-294	D3	0.838094507	0.107495731	0.012470502	0.000652303	0.011376935	3.84E-05	0.02987165
294_D4_MB	MI-294	D4	0.866375708	0.081697465	0.010233076	0.001838611	0.010771659	0.000130003	0.028953478
294_D5_MB	MI-294	D5	0.857566766	0.090751731	0.014713155	0.003461919	0.010344543	0.001607319	0.021554566
390_D0_MB	MI-390	D0	0.668321105	0.178636167	0.029175658	0.005394907	0.002719033	0.046914113	0.068839016
390_D1_MB	MI-390	D1	0.643828028	0.167369722	0.038753249	0.00602923	0.0031744	0.082278751	0.05856662
390_D2_MB	MI-390	D2	0.748089088	0.115050079	0.036505008	0.007182393	0.002306273	0.065761729	0.02510543
390_D3_MB	MI-390	D3	0.807611136	0.091782667	0.023776381	0.003569825	0.003412663	0.048428379	0.021418949
390_D4_MB	MI-390	D4	0.797348485	0.098567194	0.032032279	0.004528986	0.006587615	0.041666667	0.019268775
390_D5_MB	MI-390	D5	0.852377953	0.066551181	0.022393701	0.00519685	0.002866142	0.03823622	0.012377953
buffC6	buffC6	control	0.555555556	0.148148148	0.185185185	0.037037037	0	0.074074074	0
empA1	empA1	control	0.655172414	0.034482759	0.068965517	0.206896552	0	0.034482759	0
empB1	empB1	control	0.290322581	0.096774194	0.129032258	0.387096774	0	0.064516129	0.032258065
PBS	PBS	control	0.8	0.066666667	0.033333333	0.066666667	0	0.033333333	0
blankMB	blankMB	control	0.84	0.04	0.08	0.04	0	0	0
blankMB_PBS	blankMB_PBS	control	0.771428571	0.028571429	0.085714286	0.028571429	0	0.085714286	0
water	water	control	0.571428571	0.023809524	0.095238095	0.30952381	0	0	0
