ID	Sample	Dilution	Firmicutes	Actinobacteria	Bacteroidetes	Proteobacteria	Tenericutes	Verrucomicrobia	Other
052_D0_QIA	MI-052	D0	0.668151831	0.117689051	0.137800315	0.045367271	0.005907838	0.000196928	0.024886766
052_D1_QIA	MI-052	D1	0.594975112	0.01560513	0.073229662	0.251153581	0.006539985	5.45E-05	0.05844203
052_D2_QIA	MI-052	D2	0.631388583	0.025357761	0.042577449	0.230932537	0.007115899	0.000275201	0.062352571
052_D3_QIA	MI-052	D3	0.617099296	0.023352311	0.047959085	0.246260735	0.004149378	9.65E-05	0.061082698
052_D4_QIA	MI-052	D4	0.570754717	0.047169811	0.023584906	0.287735849	0.004716981	0	0.066037736
052_D5_QIA	MI-052	D5	0.714285714	0	0.071428571	0	0	0.178571429	0.035714286
120_D0_QIA	MI-120	D0	0.573219948	0.062457961	0.175699049	0.005717306	0.173753243	0.006822331	0.002330162
120_D1_QIA	MI-120	D1	0.632246007	0.02579001	0.073938158	0.005674482	0.249099558	0.010669385	0.002582399
120_D2_QIA	MI-120	D2	0.646454002	0.011962404	0.063172885	0.007348334	0.243406437	0.025662205	0.001993734
120_D3_QIA	MI-120	D3	0.74158912	0.038654259	0.070866142	0.005010737	0.135289907	0.00071582	0.007874016
120_D4_QIA	MI-120	D4	0.720725995	0.022248244	0.088992974	0.059133489	0.087822014	0.019320843	0.00175644
120_D5_QIA	MI-120	D5	0.62195122	0	0.06097561	0.243902439	0.036585366	0	0.036585366
226_D0_QIA	MI-226	D0	0.5461716	0.06148744	0.245389562	0.024357452	0	0.116274901	0.006319045
226_D1_QIA	MI-226	D1	0.453845099	0.012161668	0.138533285	0.055299012	0	0.337943489	0.002217447
226_D2_QIA	MI-226	D2	0.350578773	0.007499592	0.083229172	0.04149231	0	0.514999185	0.002200967
226_D3_QIA	MI-226	D3	0.544117647	0.029411765	0.058823529	0	0	0.367647059	0
226_D4_QIA	MI-226	D4	0.636363636	0	0.104545455	0.022727273	0.004545455	0.231818182	0
226_D5_QIA	MI-226	D5	0.571428571	0.057142857	0.342857143	0	0	0.028571429	0
294_D0_QIA	MI-294	D0	0.543332455	0.161982533	0.116897327	0.005491277	0.06871188	0.000263419	0.103321108
294_D1_QIA	MI-294	D1	0.66826766	0.086845717	0.083120957	0.00372476	0.055708031	0.000130693	0.102202183
294_D2_QIA	MI-294	D2	0.696223643	0.091768256	0.08267482	0.004447445	0.052257475	3.97E-05	0.072588651
294_D3_QIA	MI-294	D3	0.743730408	0.058973354	0.058973354	0.00450627	0.065438871	0.000195925	0.068181818
294_D4_QIA	MI-294	D4	0.457142857	0.05	0.128571429	0.15	0.007142857	0	0.207142857
294_D5_QIA	MI-294	D5	0.768	0.016	0.008	0.048	0.072	0	0.088
390_D0_QIA	MI-390	D0	0.458732583	0.059829653	0.257464241	0.039346387	0.022774615	0.062537611	0.09931491
390_D1_QIA	MI-390	D1	0.642410714	0.035140306	0.174362245	0.02372449	0.015178571	0.072640306	0.036543367
390_D2_QIA	MI-390	D2	0.656219852	0.022202272	0.123660092	0.022872226	0.013291886	0.137166363	0.024587308
390_D3_QIA	MI-390	D3	0.639990721	0.045730192	0.125294098	0.019816416	0.008682109	0.13377738	0.026709083
390_D4_QIA	MI-390	D4	0.660064084	0.106029712	0.067579377	0.031459365	0.016020973	0.080396155	0.038450335
390_D5_QIA	MI-390	D5	0.807743658	0.1188251	0.002670227	0.036048064	0	0.006675567	0.028037383
buffAE	buffAE	control	0.787878788	0.121212121	0.090909091	0	0	0	0
empA1	empA1	control	0.655172414	0.034482759	0.068965517	0.206896552	0	0.034482759	0
empB1	empB1	control	0.290322581	0.096774194	0.129032258	0.387096774	0	0.064516129	0.032258065
PBS	PBS	control	0.8	0.066666667	0.033333333	0.066666667	0	0.033333333	0
blankQIA_PBS	blankQIA_PBS	control	0.558823529	0.088235294	0.205882353	0	0.117647059	0.029411765	0
water	water	control	0.571428571	0.023809524	0.095238095	0.30952381	0	0	0
